Variedad,Altura,Cantidad (L),Temperatura,pH,Tiempo de fermentación,Puntaje en taza,Categoria_Puntaje
0,2120.0,22.0,24.2,4.28,10.0,84.5,Bueno
1,2120.0,22.0,25.7,4.13,10.0,84.0,Bueno
2,1987.0,22.0,22.7,3.78,26.0,85.5,Muy bueno
2,1987.0,22.0,27.2,3.8,25.0,85.0,Bueno
0,1957.0,22.0,18.6,3.98,9.0,83.25,Bueno
0,1957.0,22.0,19.0,3.63,11.0,83.5,Bueno
3,1500.0,18.0,22.0,3.5,144.0,84.0,Bueno
4,1600.0,6.0,28.5,4.69,20.0,85.5,Muy bueno
5,1619.0,19.2,20.9,4.31,18.0,88.5,Muy bueno
5,1619.0,19.2,22.6,4.1,24.0,87.0,Muy bueno
5,1619.0,19.2,19.3,4.07,30.0,84.0,Bueno
5,1619.0,19.2,17.3,3.96,36.0,85.5,Muy bueno
1,1650.0,30.0,22.0,4.4,18.0,82.5,Bueno
2,1875.0,30.0,22.0,4.4,19.0,82.5,Bueno
2,1134.0,100.0,15.0,3.85,42.0,82.5,Bueno
6,1134.0,100.0,15.0,3.67,42.0,83.5,Bueno
7,1134.0,100.0,15.0,3.77,41.0,82.25,Bueno
2,1134.0,100.0,30.0,3.7,20.0,79.75,No especial
6,1134.0,100.0,30.0,3.45,18.0,83.75,Bueno
7,1134.0,100.0,30.0,3.55,18.0,83.75,Bueno
8,950.0,40.0,30.0,4.42,87.0,84.75,Bueno
2,1300.0,20.0,15.0,3.85,40.0,82.75,Bueno
2,1500.0,20.0,15.0,4.0,42.0,82.5,Bueno
2,1700.0,20.0,15.0,4.1,38.0,81.75,Bueno
2,1800.0,20.0,15.0,4.0,43.0,83.0,Bueno
2,1200.0,20.0,30.0,3.9,16.0,74.25,No especial
2,1300.0,20.0,30.0,3.95,17.0,70.5,No especial
2,1500.0,20.0,30.0,3.95,17.0,82.25,Bueno
2,1700.0,20.0,30.0,4.0,18.0,75.0,No especial
2,1800.0,20.0,30.0,4.1,16.0,82.5,Bueno
8,1200.0,68.0,18.0,4.5,72.0,79.0,No especial
10,1150.0,100.0,24.0,4.81,24.0,82.0,Bueno
10,1150.0,100.0,21.0,5.04,48.0,83.75,Bueno
